"ETL_ID","DELETE_FLAG","ID","ISDELETED","MASTERRECORDID","NAMEX","TYPEX","RECORDTYPEID","PARENTID","BILLINGSTREET","BILLINGCITY","BILLINGSTATE","BILLINGPOSTALCODE","BILLINGCOUNTRY","SHIPPINGSTREET","SHIPPINGCITY","SHIPPINGSTATE","SHIPPINGPOSTALCODE","SHIPPINGCOUNTRY","PHONE","FAX","ACCOUNTNUMBER","WEBSITE","SIC","INDUSTRY","ANNUALREVENUE","NUMBEROFEMPLOYEES","OWNERSHIP","TICKERSYMBOL","DESCRIPTION","RATING","SITE","OWNERID","CREATEDDATE","CREATEDBYID","LASTMODIFIEDDATE","LASTMODIFIEDBYID","SYSTEMMODSTAMP","LASTACTIVITYDATE","CIF","POTENCIAL_DE_FINANCIACI_N","POTENCIAL_FINANCIACI_N_CETELEM","CONDICI_N_ESPECIAL","NUMERO_DE_CADENA","ADELANTING","AGENTE","ANTIGUEDAD","SANASO","N_RETRASO","COMPRA_VENTA","CONCESIONARIO","CREDITO_POST_VENTA","CREDITO_STOCK","N_RECOBRO","CUENTA_CORRIENTE_20_DIGITOS","N_CONTENCIOSO","SANAS","RETRASO","ESTIMACION_DE_VENTAS_ANUALES","EXTENSIONDEGARANTIA","FILIAL","MIEMBRO_DE_GRUPO","MANTENIMIENTO","PROPIEDAD","MARCA","METROS_CUADRADOS","METROS_CUADRADOS_EXPOSICION","OTROS_SEGUROS_1","OTROS_SEGUROS_2","PRIVADO","RAZON_SOCIAL","RENTING","SEGURO_AUTOMOVIL","SEGURO_AUTOMOVIL_CORREDURIA_AG","SEGURO_AUTOMOVIL_FINANCIERA_MA","RECOBRO","CONTENCIOSO","TARJETAS","VN","VO","CABECERA_DE_GRUPO","CABECERA_DE_UNION","CABECERA_DE_CADENA","NUMERO_DE_GRUPO","NUMERO_DE_UNION","UNIONB","RED","N_RIESGO_VIVO_TOTAL","SITUACION","ZONA","NOMBRE_CADENA","IMPAGADOS_MES","IMPAGADOS_6_MESES","VALORACION_RIESGO","SECTOR","SITUACION_DESDE","NOMBRE_UNION","FECHA_DE_ENTRADA","NOMBRE_GRUPO","N_CARTERA","TELEMATICA","N_AGENCIA","ULTIMA_FINANCIACION","ALERTA","SITUACION_DE_RIESGO","FECHAPOSICIONACTUAL","AGENCIA","CARTERA","TEMPORAL","ACTIVIDAD_ANTERIOR","RASERO","NOCLIENTESNUEVOS","OPER_FIN_MES","NOMBRE_DE_CADENA","NOMBRE_DE_GRUPO","NOMBRE_DE_UNION","FINANCIADOMESPASADO","FINANCIADOMESPASADOANOPASADO","DIA_MAYOR_20","OPERACIONESFINANCIADAS","RECIBIDOCLASICOACTUAL","FINANCIADOCLASICOACTUAL","FINANCIADOANOPASADO","CTX_PORCENTAJE","REC_PORCENTAJE","SANA_PORCENTAJE","OPERACIONESRECIBIDAS","CRECIMIENTO","PRODUCCIONENERO","PRODUCCIONFEBRERO","PRODUCCIONMARZO","PRODUCCIONABRIL","PRODUCCIONMAYO","PRODUCCIONJUNIO","PRODUCCIONJULIO","PRODUCCIONAGOSTO","PRODUCCIONSEPTIEMBRE","PRODUCCIONOCTUBRE","PRODUCCIONNOVIEMBRE","PRODUCCIONDICIEMBRE","SEGMENTO","RECIBIDOTARJETAACTUAL","MIX_CLASICO","ACTIVIDAD_ACTUAL","DNIDIRIGENTE","NOMBREDIRIGENTE","OPERACIONESPRIMAUNICA","PRODUCCIONENEROPAS","PRODUCCIONFEBREROPAS","PRODUCCIONMARZOPAS","PRODUCCIONABRILPAS","PRODUCCIONMAYOPAS","PRODUCCIONJUNIOPAS","PRODUCCIONJULIOPAS","PRODUCCIONAGOSTOPAS","PRODUCCIONSEPTIEMBREPAS","PRODUCCIONOCTUBREPAS","PRODUCCIONNOVIEMBREPAS","PRODUCCIONDICIEMBREPAS","FINANCIADOTARJETAACTUAL","OPERACIONESRECIBIDASTARJETA","OPERACIONESRECIBIDASCLASICO","OPERACIONESFINANCIADASTARJETA","OPERACIONESFINANCIADASCLASICO","OPERACIONESASEGURADAS","CONTENCIOSOTARJETA","RECOBRO_TARJETA","RIESGO_TARJETA","NOFIDELIZADOSENERO","NOFIDELIZADOSFEBRERO","NOFIDELIZADOSMARZO","NOFIDELIZADOSABRIL","NOFIDELIZADOSMAYO","NOFIDELIZADOSJUNIO","NOFIDELIZADOSJULIO","NOFIDELIZADOSAGOSTO","NOFIDELIZADOSSEPTIEMBRE","NOFIDELIZADOSOCTUBRE","NOFIDELIZADOSDICIEMBRE","NOFIDELIZADOSNOVIEMBRE","RESTRICCION","TASATRANSFORMACION","CORRECIONTTRANSF","N_CADENA_INT","N_GRUPO_INT","N_UNION_INT","RECIBIDO_1","RECIBIDO_2","RECIBIDO_3","RECIBIDO_4","RECIBIDO_5","RECIBIDO_6","RECIBIDO_SUMA","FINANCIADO_SUMA_1","FINANCIADO_SUMA_2","FINANCIADO_SUMA","RECIBIDO_SUMA_HIST","RECIBIDO_CUENTA_HIST","N_CARTERA_INT","AVISO_ALERTA","CENTRO_DE_CAPTACI_N","OPERACIONES_RECIBIDAS_CLASICO","OPERACIONES_RECIBIDAS_TARJETA","OPERACIONES_FINANCIADAS_CLASIC","N_VENDEDOR","EJE_OBJETIVO1_VCA","EJE_OBJETIVO2_VCA","EJE_OBJETIVO3_VCA","VALORACI_N_OBJETIVO1_VCA","VALORACI_N_OBJETIVO3_VCA","VALORACI_N_OBJETIVO2_VCA","MES_OBJETIVO_VCA","CESP_AUTORIZADA","TIPO_DE_CESP","SOCIEDAD","GRATUITO_TOTAL","PRODUCCI_N_G_3M","PRODUCCION_CLASICO","INTERES_CLIENTE_DEL","DE_G_3M","PRODUCCION_GRATUITO","DE_G_DE_MAS_DE_3M","IMPDUR_INTER_S_CLIENTE","IMPDUR_GRATUITO","PLAZO_MEDIO_INTER_S_CLIENTE","PLAZO_MEDIO_GRATUITO","CENTRO_CAPTACI_N_SUBGRUPO","PRUEBA_AUTOFECHA","PRODUCCI_N_DE_GRATUITO_3M","OBJETIVO_DE_PROD_INTER_S_CLIEN","OBJETIVO_DE_PROD_GRATUITO","OBJETIVO_DE_PLAZO_MEDIO_INTER","OBJETIVO_DE_PLAZO_MEDIO_GRATUI","OBJETIVO_DE_PROD_GRATUITO_3M","OBJETIVO_DE_PROD_GRATUITO_MAS","OBJETIVO_DE_DE_GRATUITO","OBJETIVO_DE_DE_INTER_S_CLIENTE","CUMPLE_INTERES_CLIENTE","OBJETIVO_DE_PRODUCCI_N_DEL_MES","CUMPLE_OBJETIVO_DE_PRODUCCI_N","CUMPLE_OBJETIVO_DE_GRATUITO","CUMPLE_OBJETIVO_DE_INTERES_CLI","CUMPLE_OBJ_PLAZO_MEDIO_INTERES","COSTE_DE_GRATUITO","RITMO_DE_VISITA_COMERCIAL","FORMACI_N_DE_SEGUROS","ANEXO_DE_CONTRATO_DE_AFILIACI","FAACTIVIDAD","FAANODEINICIODELNEGOCIO","FACARGODELFIRMANTE","FACIFRABRUTADENEGOCIO","FACOMPETENCIA1","FACOMPETENCIA2","FACOMPETENCIA3","FAFORMALEGAL","FANATURALEZADELLOCAL","FAORIGENDELPROSPECT","FASUPERFICIEDEVENTA","FASUPERFICIETOTAL","FAUBICACIONDELLOCAL","FAVOLUMENCONCOMPETENCIA1","FAVOLUMENCONCOMPETENCIA2","FAVOLUMENCONCOMPETENCIA3","FAVOLUMENDENEGOCIOACREDITO","TIPO","RECIBIDO_PRODUCCI_N_ESPECIAL","FINANCIADO_PRODUCCI_N_ESPECIAL","ALERTASECTOR","ALERTAPOSICION","ALERTAAGENCIA","INTERES_CLIENTE_TOTAL","TRC_TIENDA","TENDENCIA_DE_CRECIMIENTO_S_M_1","AGRUPACI_N_CADENAS","TENDENCIA_DE_CRECIMIENTO_M","TEND_AUT_RECIB","CONTADOR1_ACTIVIDAD_TT","CONTADOR_TT_TOTAL","FINANCIADO_TOTAL_ACTUAL","FECHA_REACTIVACION","REACTIVACI_N_POR_FAX","REACTIVACION_POR_FAX","DIAS_PARA_BAJA","ESTADO_DE_REACTIVACION","MEDIADOR_DE_SEGUROS_NO_ENTREGA","N_OPERACIONES_I_C","NUMERO_DE_APERTURAS_TARJETA_CO","FINANCIADO_TARJETA_TOTAL_PRODU","JIGSAW","DIA_HABIL_MES_FORMULAS_TENDENC","TOTAL_DIAS_HABILE_MES_FORMULAS","TT_FORMULAS_TENDENCIA","DIAS_HABILES_MES","TT_AUTOMATICA","TOTAL_D_AS_H_BILES_MES","DIAS_H_BILES_MES_TRANSCURRIDOS","NVENDEDOR_INTERNO","UNION_SFDC","SW_ACTIVIDAD_RECIBIDO","SW_ACTIVIDAD_PAGADO","SW_PDV_ACTIVO","MES_7","MES_8","CONTADOR2_ACTIVIDAD_TT","SICDESC","JIGSAWCOMPANYID","ACCOUNTSOURCE","DIAS_HABILES_MES_TRANSCURRIDOS","MES_9","MES_10","BIMES5","MES_11","MES_12","PRUEBAMESCONTADRO1","GESTOR_ZONA","MES_1","MES_2","MES_3","MES_4","MES_5","MES_6","BIMES1","BIMES2","BIMES3","CARTA_DE_PUBLICIDAD_FIRMADA","APELLIDOS_PERSONA_CONSULTADA_B","APELLIDOS_PERSONA_CONSULTADA_0","APELLIDOS_PERSONA_CONSULTADA_1","APELLIDOS_PERSONA_CONSULTADA_2","APELLIDOS_TITULAR_REAL_1","APELLIDOS_TITULAR_REAL_2","APELLIDOS_TITULAR_REAL_3","CARGO_1","CARGO_2","CARGO_3","CARGO_4","CARGO_TITULAR_REAL_1","CARGO_TITULAR_REAL_2","CARGO_TITULAR_REAL_3","DNI_TITULAR_REAL_1","DNI_TITULAR_REAL_2","DNI_TITULAR_REAL_3","DOMICILIO_FISCAL_TITULAR_REAL","DOMICILIO_FISCAL_TITULAR_REA0","DOMICILIO_FISCAL_TITULRA_REAL","FECHA_CONSULTA_PEP_Y_VIGILANCE","NACIONALIDAD_FIRMANTE","NACIONALIDAD_TITULAR_REAL_1","NACIONALIDAD_TITULAR_REAL_2","NACIONALIDAD_TITULAR_REAL_3","NOMBRE_PERSONA_CONSULTADA_BORM","NOMBRE_PERSONA_CONSULTADA_BOR0","NOMBRE_PERSONA_CONSULTADA_BOR1","NOMBRE_PERSONA_CONSULTADA_BOR2","NOMBRE_TITULAR_REAL_1","NOMBRE_TITULAR_REAL_2","NOMBRE_TITULAR_REAL_3","ORIGEN_REGISTRO","RESULTADO_CONSULTA_PEP","RESULTADO_CONSULTA_VIGILANCE","CONTRATO_BORME","PDV_ACTIVO_CUBO","MAIL_FACTURA_COMISIONES","CORREO_ELECTRONICO_TIENDA","NUEVATT","ANEXO_LOGALTY_APORTADO","TOTAL_DIAS_HABILES_MES_AGENCIA","TTAUTOMATICA_PDV","TENDENCIA","REALIZADO_M_12","CREC_VS_A_O_ANTERIOR","LETRA_CARTERA","NERO","FECHA_ULTIMA_VISITA","PAGE_COUNT","FECHA_DE_RECERTIFICACION","SCORING_RECERTIFICACION","ID_VENDEDOR","REACTIVABLE","NATURALEZA_JURIDICA_CIF_EXT","PROCESO_FK","PROFESION_FK","SW_PROF_REG_ESP","TIPO_DOC_ID_FK","WEB","COTIZACION_FK","FCH_CONSTITUCION","ID_VND_REVISION_ARCHIVOS_FK","OTROS_REVISION_ARCHIVO","SW_BANCO_SENSIBLE","SW_PARTICIPACION"
145041531,"I","X-145041531","","","TIANELSUR                ","","012200000008eMEAAY","","","","","","","","","","","","","","","","","",,,"","","","","","00520000000otT7AAI",05-FEB-21,"00520000000otT7AAI",,"",06-FEB-21,,"",,,"","","","",,,,"","","","",,"",,,,,"","","","","","",,,"","","","","","","","",,,"","","","","","","","","","",,"",,"",,,"","",,"TIANELSUR                ",,"","",,"",,"","",,"","","","","",,"","","","",,,"",,0,0,,,,,,,0,0,0,0,0,9732.15,3916.32,25359.95,28949.14,14592.16,57626.56,47107.85,"",0,,"","","",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,"",,,"","","",,,,,,,,,,,,,"","","",,,,"9305137","","","","","","","","","","",,,,,,,,,,,,"",,,,,,,,,,,"",,"","","","",,,"","","",,"",,"","","","","","",,,"",,,,,"",,,"","","",,,,"",,,,,,,"","",,"","",,,,"",,,,,,,,"",,,,,,,,"","","",,,,,,,"","",,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","",,"","","","","","","","","","","","","","","",,"","",,"",,,,,,"","",,,,"",,"",,,,,,"",,,,"",,
145041568,"I","X-145041568","","","AUTOMOVILES NIETO EXP    ","","012200000008eMEAAY","","","","","","","","","","","","","","","","","",,,"","","","","","00520000000otT7AAI",05-FEB-21,"00520000000otT7AAI",,"",06-FEB-21,,"",,,"","","","",,,,"","","","",,"",,,,,"","","","","","",,,"","","","","","","","",,,"","","","","","","","","","",,"",,"",,,"","",,"AUTOMOVILES NIETO EXP    ",,"","",,"",,"","",,"","","","","",,"","","","",,,"",,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,"",0,,"","","",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,"",,,"","","",,,,,,,,,,,,,"","","",,,,"9305202","","","","","","","","","","",,,,,,,,,,,,"",,,,,,,,,,,"",,"","","","",,,"","","",,"",,"","","","","","",,,"",,,,,"",,,"","","",,,,"",,,,,,,"","",,"","",,,,"",,,,,,,,"",,,,,,,,"","","",,,,,,,"","",,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","",,"","","","","","","","","","","","","","","",,"","",,"",,,,,,"","",,,,"",,"",,,,,,"",,,,"",,
149714595,"I","X-149714595","","","CASAS MOVILES VALLE DEL GUADALHORCE     ","","012200000008eM4AAI","","AV DE LA LIBERTAD, S/N        29120","MALAGA                   ","","","","PG LAS LONGUERAS S/N                                        ","CARTAMA                  ","","29570","","          ","          ","","","","CAR",,0,"","",""," ","","00520000000otT7AAI",23-MAR-24,"00520000000nO54AAE",23-MAR-24,"00520000000nO54AAE",23-MAR-24,,"B93470169 ",,,"","","","",,,,"","","","",0,"01827881310201639034",0,,,,"","","","","","",,,"","","","NEGOCIOS E IDEAS 2015 SL                ","","","","",,,"","","","","","","","","","3",0,"PRO",33,"",,,"","CAR",21-MAR-24,"",21-MAR-24,"","213F",3,"213",01-ENE-01,"0","",,"a092X00001Yq9wAQAR","a042X00000Z4glyQAB","0","","",,"","0012000000BT9GYAA1","0012X00001sslzuQAA","0012X00001ovBrhQAE",,,"",,,,,,,,,,,,,,,,,,,,,,"",,,"","          ","                                        ",,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,"",,,"9101916","9242777","9309147",,,,,,,,,,,,,"F","","",,,,"2563740","","","","","","","","","","400",,,,,,,,,,,,"",,,,,,,,,,,"",,"","","","",,,"","","",,"",,"","","","","","",,,"",,,,,"",,,"","","",,,,"",,,,,,,"","",,"","",,,,"",,,,,,,,"",,,,,,,,"","","",,,,,,,"","",,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","",,"","","","","","","","","","","","","","","",,"","",,"",,,,,,"","",,,,"",,"",,,,,,"",,,,"",,
145041881,"I","X-145041881","","","VERE                     ","","012200000008eMEAAY","","","","","","","","","","","","","","","","","",,,"","","","","","00520000000otT7AAI",05-FEB-21,"00520000000otT7AAI",,"",06-FEB-21,,"",,,"","","","",,,,"","","","",,"",,,,,"","","","","","",,,"","","","","","","","",,,"","","","","","","","","","",,"",,"",,,"","",,"VERE                     ",,"","",,"",,"","",,"","","","","",,"","","","",,,"",,0,0,,,,,,,0,0,0,0,0,11854,16698.61,13834.98,12026.5,22533,52756.17,43202.09,"",0,,"","","",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,,,,,,,,,,,,,,,,,"",,,"","","",,,,,,,,,,,,,"","","",,,,"9305145","","","","","","","","","","",,,,,,,,,,,,"",,,,,,,,,,,"",,"","","","",,,"","","",,"",,"","","","","","",,,"",,,,,"",,,"","","",,,,"",,,,,,,"","",,"","",,,,"",,,,,,,,"",,,,,,,,"","","",,,,,,,"","",,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","",,"","","","","","","","","","","","","","","",,"","",,"",,,,,,"","",,,,"",,"",,,,,,"",,,,"",,
145041971,"I","X-145041971","","","CANDELSA                 ","","012200000008eMEAAY","","","","","","","","","","","","","","","","","",,,"","","","","","00520000000otT7AAI",05-FEB-21,"00520000000otT7AAI",,"",23-MAR-24,,"",,,"","","","",,,,"","","","",,"",,,,,"","","","","","",,,"","","","","","","","",,,"","","","","","","","","","",,"",,"",,,"","",,"CANDELSA                 ",,"","",,"",,"","",,"","","","","",,"","","","",,,"",,,,,,,,,,0,7236.22,0,0,0,0,0,0,0,0,0,0,"",,,"","","",,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,"",,,"","","",,,,,,,,,,,,,"","","",,,,"9305129","","","","","","","","","","",,,,,,,,,,,,"",,,,,,,,,,,"",,"","","","",,,"","","",,"",,"","","","","","",,,"",,,,,"",,,"","","",,,,"",,,,,,,"","",,"","",,,,"",,,,,,,,"",,,,,,,,"","","",,,,,,,"","",,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","",,"","","","","","","","","","","","","","","",,"","",,"",,,,,,"","",,,,"",,"",,,,,,"",,,,"",,
145042123,"I","X-145042123","","","RENAULTSEVILLA           ","","012200000008eMEAAY","","","","","","","","","","","","","","","","","",,,"","","","","","00520000000otT7AAI",05-FEB-21,"00520000000otT7AAI",,"",23-MAR-24,,"",,,"","","","",,,,"","","","",,"",,,,,"","","","","","",,,"","","","","","","","",,,"","","","","","","","","","",,"",,"",,,"","",,"COMPETICION              ",,"","",,"",,"","",,"","","","","",,"","","","",,,"",,0,0,,,,,,,228678.98,453215.48,0,0,0,0,0,0,0,0,0,0,"",0,,"","","",,415754.59,340775.8,350479.25,715270.39,690264.24,619046.03,609038.5,345689.33,376493.08,366445.75,443135.76,217218.48,0,0,0,0,8,,,,,,,,,,,,,,,,,"",,,"","","",,,,,,,,,,,,,"","","",,,,"9305194","","","","","","","","","","",,,,,,,,,,,,"",,,,,,,,,,,"",,"","","","",,,"","","",,"",,"","","","","","",,,"",,,,,"",,,"","","",,,,"",,,,,,,"","",,"","",,,,"",,,,,,,,"",,,,,,,,"","","",,,,,,,"","",,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","",,"","","","","","","","","","","","","","","",,"","",,"",,,,,,"","",,,,"",,"",,,,,,"",,,,"",,
145627748,"I","X-145627748","","","FRANQUICIAS              ","","012200000008eMAAAY","","","","","","","","","","","","","","","","","",,,"","","","","","00520000000otT7AAI",16-FEB-21,"00520000000otT7AAI",,"",08-NOV-23,,"",,,"","","","",,,,"","","","",,"",,,,,"","","","","","",,,"","","","","","","","",,,"","","","","","","","","","",,"",,"",,,"","",,"",,"","",,"",,"","",,"","","","","",,"","","","",,,"",,0,0,,,,,,,,,,,,,,,,,,,"",0,,"","","",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,"",,,"","","",,,,,,,,,,,,,"","","",,,,"9233909","","","","","","","","","","",,,,,,,,,,,,"",,,,,,,,,,,"",,"","","","",,,"","","",,"",,"","","","","","",,,"",,,,,"",,,"","","",,,,"",,,,,,,"","",,"","",,,,"",,,,,,,,"",,,,,,,,"","","",,,,,,,"","",,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","",,"","","","","","","","","","","","","","","",,"","",,"",,,,,,"","",,,,"",,"",,,,,,"",,,,"",,
149654588,"I","X-149654588","","","E-COMMERCE COCHE         ","","012200000008eM9AAI","","","","","","","","","","","","","","","","","",,,"","","","","","00520000000otT7AAI",09-DIC-21,"00520000000otT7AAI",,"",23-MAR-24,,"",,,"","","","",,,,"","","","",,"",,,,,"","","","","","",,,"","","","","","","","",,,"","","","","","","","","","",,"",,"E-COMMERCE COCHE         ",,,"","",,"",,"","",,"",,"","",,"","","","","",,"","","","",,,"",,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,"",,,"","","",,0,0,0,15100,0,28900,0,0,17100,0,0,22400,,,,,,,,,,,,,,,,,,,,,,"",,,"","","",,,,,,,,,,,,,"","","",,,,"9111519","","","","","","","","","","",,,,,,,,,,,,"",,,,,,,,,,,"",,"","","","",,,"","","",,"",,"","","","","","",,,"",,,,,"",,,"","","",,,,"",,,,,,,"","",,"","",,,,"",,,,,,,,"",,,,,,,,"","","",,,,,,,"","",,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","",,"","","","","","","","","","","","","","","",,"","",,"",,,,,,"","",,,,"",,"",,,,,,"",,,,"",,
149670379,"I","X-149670379","","","SEGUROS CATALANA OCCIDENTE EMPLEADOS    ","","012200000008eM4AAI","","PS PSO CASTELLANA 4           28046","MADRID                   ","","","","PS PSO CASTELLANA 4                                         ","MADRID                   ","","28046","","          ","          ","","","","SGR",,0,"","",""," ","","00520000000otT7AAI",20-JUL-22,"00520000000nO54AAE",30-AGO-22,"00520000000otT7AAI",30-AGO-22,,"A28119220 ",,,"","","","",,,,"","","","",0,"01820999870011509586",0,,,,"","","","","","",,,"","","","SEGUROS CATALANA OCCIDENTE SOCIEDAD ANON","","","","",,,"","","","","","","","","","1",0,"PRO",9,"",,,"","SGR",18-JUL-22,"",18-JUL-22,"","",3,"",01-ENE-01,"0","",,"","","0","","",,"","","","",,,"",,,,,,,,,,,,,,,,,,,,,,"",,,"","          ","                                        ",,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,"",,,"9111600","9200000","0",,,,,,,,,,,,,"D","","",,,,"2998169","","","","","","","","","","400",,,,,,,,,,,,"",,,,,,,,,,,"",,"","","","",,,"","","",,"",,"","","","","","",,,"",,,,,"",,,"","","",,,,"",,,,,,,"","",,"","",,,,"",,,,,,,,"",,,,,,,,"","","",,,,,,,"","",,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","",,"","","","","","","","","","","","","","","",,"","",,"",,,,,,"","",,,,"",71298,"",,1,,,2,"",3,07-JUN-63,,"",0,
149670380,"I","X-149670380","","","SEGUROS CATALANA OCCIDENTE              ","","012200000008eM4AAI","","PS PSO CASTELLANA 4           28046","MADRID                   ","","","","PS PSO CASTELLANA 4                                         ","MADRID                   ","","28046","","          ","          ","","","","SGR",,0,"","",""," ","","00520000000otT7AAI",20-JUL-22,"00520000000nO54AAE",30-AGO-22,"00520000000otT7AAI",30-AGO-22,,"A28119220 ",,,"","","","",,,,"","","","",0,"01820999870011509586",0,,,,"","","","","","",,,"","","","SEGUROS CATALANA OCCIDENTE SOCIEDAD ANON","","","","",,,"","","","","","","","","","1",0,"PRO",9,"",,,"","SGR",18-JUL-22,"",18-JUL-22,"","",3,"",01-ENE-01,"0","",,"","","0","","",,"","","","",,,"",,,,,,,,,,,,,,,,,,,,,,"",,,"","          ","                                        ",,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,"",,,"9111600","9200000","0",,,,,,,,,,,,,"D","","",,,,"2998151","","","","","","","","","","400",,,,,,,,,,,,"",,,,,,,,,,,"",,"","","","",,,"","","",,"",,"","","","","","",,,"",,,,,"",,,"","","",,,,"",,,,,,,"","",,"","",,,,"",,,,,,,,"",,,,,,,,"","","",,,,,,,"","",,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","",,"","","","","","","","","","","","","","","",,"","",,"",,,,,,"","",,,,"",71297,"",,1,,,2,"",3,07-JUN-63,,"",0,
